628.3187	43-1
628.3187	431
628.3187	701
628.3187	70-1
628.3187	-70-1
628.3187	-701
628.3187	8-31
628.3187	8-3-1
628.3187	-831
628.3187	-83-1
628.3187	-751
628.3187	-75-1
628.3187	7-5-1
628.3187	7-51
628.3187	-46-1
628.3187	-461
628.3187	4-61
628.3187	4-6-1
628.3187	-361
628.3187	3-61
628.3187	3-6-1
628.3187	-36-1
628.3187	8-2-1
628.3187	8-21
628.3187	-821
628.3187	-82-1
628.3187	-1-51
628.3187	-1-5-1
628.3187	151
628.3187	15-1
628.3187	34-1
628.3187	-3-41
628.3187	341
628.3187	-3-4-1
628.3187	5-61
628.3187	5-6-1
628.3187	-561
628.3187	-56-1
628.3187	8-41
628.3187	8-4-1
628.3187	-84-1
628.3187	-841
628.3187	2-6-1
628.3187	-261
628.3187	-26-1
628.3187	2-61
628.3187	-81-1
628.3187	8-1-1
628.3187	-811
628.3187	8-11
628.3187	-661
628.3187	-66-1
628.3187	6-6-1
628.3187	6-61
628.3187	-6-2-1
628.3187	-6-21
628.3187	621
628.3187	62-1
628.3187	1-6-1
628.3187	1-61
628.3187	-16-1
628.3187	-161
628.3187	-7-1-1
628.3187	711
628.3187	-7-11
628.3187	71-1
628.3187	-5-3-1
628.3187	53-1
628.3187	531
628.3187	-5-31
628.3187	-851
628.3187	8-51
628.3187	-85-1
628.3187	8-5-1
628.3187	-2-5-1
628.3187	-2-51
628.3187	25-1
628.3187	251
628.3187	-76-1
628.3187	-761
628.3187	7-6-1
628.3187	7-61
628.3187	801
628.3187	80-1
628.3187	-801
628.3187	-80-1
628.3187	44-1
628.3187	-4-41
628.3187	-4-4-1
628.3187	441
628.3187	-93-1
628.3187	9-3-1
628.3187	9-31
628.3187	-931
628.3187	06-1
628.3187	0-6-1
628.3187	0-61
628.3187	061
628.3187	-94-1
628.3187	9-41
628.3187	-941
628.3187	9-4-1
628.3187	-92-1
628.3187	9-2-1
628.3187	9-21
628.3187	-921
628.3187	-47-1
628.3187	-471
628.3187	4-7-1
628.3187	4-71
628.3187	8-6-1
